State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
AK,99501.0,2,Anchorage,US,61.22,-149.89,17213.0,38.3,54579.0,39690.0,0
AK,99502.0,4,Anchorage,US,61.18,-149.95,23649.0,32.8,87250.0,39021.0,0
AK,99503.0,1,Anchorage,US,61.18,-149.88,14107.0,34.0,46819.0,27693.0,0
AK,99504.0,5,Anchorage,US,61.23,-149.74,42189.0,31.3,77132.0,31811.0,0
AK,99505.0,1,Fort Richardson,US,61.26,-149.68,6479.0,21.6,51582.0,19267.0,0
AK,99506.0,1,Anchorage,US,61.23,-149.75,7541.0,22.7,58537.0,21115.0,0
AK,99507.0,3,Anchorage,US,61.18,-149.84,40013.0,33.5,85935.0,39237.0,0
AK,99508.0,2,Anchorage,US,61.22,-149.82,35437.0,30.3,58955.0,29441.0,0
AK,99515.0,5,Anchorage,US,61.14,-149.85,22661.0,33.2,95430.0,41142.0,0
AK,99517.0,1,Anchorage,US,61.19,-149.92,16809.0,36.0,72258.0,39398.0,0
AK,99577.0,3,Eagle River,US,61.35,-149.55,28565.0,31.4,99628.0,37468.0,0
AK,99603.0,1,Homer,US,59.64,-151.54,10130.0,38.6,57622.0,30310.0,0
AK,99615.0,1,Kodiak,US,57.81,-152.37,13197.0,32.1,72574.0,30857.0,0
AK,99645.0,2,Palmer,US,61.6,-149.12,27818.0,34.8,77619.0,30968.0,0
AK,99654.0,4,Wasilla,US,61.58,-149.41,56325.0,33.2,74955.0,29865.0,0
AK,99664.0,1,Seward,US,60.13,-149.43,4892.0,40.5,63309.0,29317.0,0
AK,99669.0,2,Soldotna,US,60.49,-151.05,14464.0,38.0,70845.0,32516.0,0
AK,99701.0,2,Fairbanks,US,64.85,-147.69,18900.0,30.4,51637.0,28460.0,0
AK,99703.0,1,Fort Wainwright,US,64.83,-147.65,7726.0,22.3,53557.0,20104.0,0
AK,99705.0,1,North Pole,US,64.76,-147.35,24421.0,30.5,74920.0,30720.0,0
AK,99709.0,3,Fairbanks,US,64.84,-147.81,31594.0,35.1,77209.0,38517.0,0
AK,99801.0,2,Juneau,US,58.36,-134.55,30262.0,37.3,86240.0,39926.0,0
AK,99901.0,1,Ketchikan,US,55.35,-131.67,13717.0,38.7,64222.0,32010.0,0
AL,35007.0,3,Alabaster,US,33.23,-86.8,26499.0,36.2,65649.0,24701.0,0
AL,35022.0,1,Bessemer,US,33.33,-86.93,20020.0,41.1,60159.0,28721.0,0
AL,35055.0,1,Cullman,US,34.15,-86.84,20290.0,38.7,37614.0,20451.0,0
AL,35068.0,1,Fultondale,US,33.61,-86.81,7966.0,39.1,51240.0,25532.0,0
AL,35071.0,1,Gardendale,US,33.65,-86.82,15763.0,42.7,56967.0,29328.0,0
AL,35203.0,1,Birmingham,US,33.5,-86.81,3193.0,38.7,18283.0,21939.0,0
AL,35205.0,2,Birmingham,US,33.51,-86.79,21141.0,28.5,30910.0,25582.0,0
AL,35209.0,3,Homewood,US,33.47,-86.77,29463.0,29.4,49739.0,31286.0,0
AL,35210.0,1,Birmingham,US,33.53,-86.72,13763.0,47.3,44368.0,31500.0,0
AL,35212.0,2,Birmingham,US,33.56,-86.75,13372.0,32.4,27265.0,18203.0,0
AL,35216.0,2,Vestavia Hills,US,33.45,-86.79,36098.0,33.9,52930.0,36208.0,0
AL,35223.0,2,Mountain Brook,US,33.51,-86.77,10660.0,44.1,117371.0,64130.0,0
AL,35226.0,1,Hoover,US,33.4,-86.83,34514.0,37.4,89375.0,41337.0,0
AL,35233.0,2,Birmingham,US,33.51,-86.8,1393.0,28.3,51389.0,31321.0,0
AL,35235.0,2,Trussville,US,33.6,-86.64,18730.0,38.3,50047.0,25136.0,0
AL,35242.0,3,Hoover,US,33.43,-86.67,52466.0,39.7,83090.0,47314.0,0
AL,35243.0,1,Vestavia Hills,US,33.46,-86.74,16870.0,39.9,71042.0,50063.0,0
AL,35244.0,4,Hoover,US,33.38,-86.81,33470.0,37.2,81796.0,39884.0,0
AL,35401.0,1,Tuscaloosa,US,33.21,-87.55,36746.0,22.6,24143.0,11843.0,0
AL,35404.0,2,Tuscaloosa,US,33.2,-87.51,21397.0,28.0,39439.0,20057.0,0
AL,35487.0,1,Tuscaloosa,US,33.21,-87.55,0.0,0.0,0.0,0.0,0
AL,35601.0,1,Decatur,US,34.59,-86.96,33493.0,36.2,36506.0,20416.0,0
AL,35603.0,1,Decatur,US,34.56,-87.0,31058.0,42.3,52456.0,30444.0,0
AL,35611.0,1,Athens,US,34.78,-86.95,25405.0,40.9,37358.0,23556.0,0
AL,35630.0,1,Florence,US,34.84,-87.64,33352.0,34.8,31331.0,20284.0,0
AL,35632.0,1,Florence,US,34.8,-87.68,0.0,0.0,0.0,0.0,0
AL,35758.0,3,Madison,US,34.75,-86.74,44472.0,37.6,84691.0,41796.0,0
AL,35801.0,3,Huntsville,US,34.77,-86.58,22813.0,43.6,59904.0,38584.0,0
AL,35802.0,2,Huntsville,US,34.69,-86.55,21349.0,45.2,62741.0,41482.0,0
AL,35806.0,2,Huntsville,US,34.75,-86.68,20629.0,35.9,69620.0,38743.0,0
AL,35904.0,1,Gadsden,US,33.99,-86.08,14274.0,40.7,31988.0,17680.0,0
AL,36066.0,2,Prattville,US,32.47,-86.39,19243.0,35.6,55436.0,27300.0,0
AL,36106.0,2,Montgomery,US,32.36,-86.22,15224.0,34.5,47633.0,30112.0,0
AL,36116.0,1,Montgomery,US,32.34,-86.18,44196.0,31.3,42191.0,21852.0,0
AL,36117.0,3,Montgomery,US,32.38,-86.16,52232.0,34.5,61795.0,33184.0,0
AL,36203.0,2,Oxford,US,33.61,-85.78,18138.0,41.2,51362.0,23991.0,0
AL,36303.0,1,Dothan,US,31.27,-85.45,31316.0,38.2,39892.0,24150.0,0
AL,36526.0,1,Daphne,US,30.65,-87.91,31420.0,36.3,63312.0,29573.0,0
AL,36527.0,1,Spanish Fort,US,30.67,-87.85,13597.0,40.6,82485.0,37820.0,0
AL,36535.0,1,Foley,US,30.38,-87.68,27236.0,43.8,42433.0,23769.0,0
AL,36542.0,1,Gulf Shores,US,30.3,-87.68,13315.0,48.1,47121.0,31042.0,0
AL,36561.0,1,Orange Beach,US,30.27,-87.59,6035.0,55.6,58218.0,37903.0,0
AL,36604.0,1,Mobile,US,30.68,-88.07,10046.0,39.8,44336.0,27355.0,0
AL,36606.0,3,Mobile,US,30.68,-88.12,19135.0,34.6,35307.0,21840.0,0
AL,36608.0,2,Mobile,US,30.7,-88.13,37301.0,33.6,48625.0,28908.0,0
AL,36688.0,1,Mobile,US,30.7,-88.18,337.0,20.3,0.0,3056.0,0
